userName,komentar
wawa,Tolong untuk opsi car biasa nya itu kan tidak lebih dari 4 orang. Saya dan teman saya baru saja menggunakan aplikasii ini. pengemudi nya bilang kalau car biasa itu maksimal 3 orang. sedangkan pada aplikasi ini car biasa itu tidak lebih dari 4 orang yang berarti kami ber 4 bisa menggunakan car biasa. Tolong diperbaiki sistem nya atau pengemudi nya yang salah. TOLONG UNTUK PENGEMUDI NYA LEBIH MEMAHAMI BACA DAN TULIS. Terimakasih
Imam Nurhadi,Makin lengkap fiturnya dan cepat dapat drivernya dengan motor yang Bagus
Manatar Siahaan,bagus dan baik
Lijoo Saputra,bagus pelayanan ramah
Fahlul Usman,Bagus dan cepat sekali drivernya.. recommended dech buat kalian yg mencari ojol
Stann Leee,"Aplikasi SCAMMM,,,saldo kode promo nggk visa dipake,,,buat ap ad itu klo nggk bisa dipake !!!"
Desi Dumai,Egg saya
PT Rosalia Indah Transport,IT Maxim kebanyakan makan Narkoba Apk g jelas apa lg apk Driver nya sistem makin bobrok🖕
Joseph Joseano James Lee Sitanggang,driver terlalu banyak alasan
Zeli,driver ramah dan baik dalam melayani penumpang
Ai Farida Juniarti 2,"Terimakasih, Drivernya ramah dan tidak ngebut"
Ayu Keliwouw02,good
Sutriani Suleman,"Maaf mau Tany Wwondulaa,, kenapa Yha harga Maxim naik tiba2, naik Maxim diaplikasi Awal 38 pas nyampe diminta sama Drivernya 48 RB. Anehnya itu sama dengan harga aplikasi.sudah beberapa kali terjadi.kenaikan harga Tanpa konfirmasi. Kecewa dengan aplikasi maxim.mohon perbaikan nya"
Jupriadi 29-11-1991,👍👍👍👍
Tedy Juliansyah,Good
Arga Putra,Memuaskan
Muhamad izul islam,Harga murah in lagi mas hhe
Asmawah Awah,Gajelas ngasih saldo 100k tpi gk bisa di gunain redup aja
Ijung Ferizal,Mantap
Hartono Reno,drivernya amanah
Wahyu Wajaya,makasih pk
Sultan Maulana,Kalo verif no hp SE tahun gak ada2 kode verif nyah
Qomar Uzzaman,tolong ini cara isi saldonya gimna 🤣🤣🤣
Robi Setiawan,Pemilihan rute tepat
Rizkyridoh cehnel ridoh,"atas ucapan dan omongan ramah dan tidak mahal biaya nya ""terimakasih"""
helpi hulu,"Driver maxim selalu minta uang parkir kalau delivery barang, padahal biaya delivery cuma 6.000, mereka minta uang parkir biasanya 2000-5000 meskipun di tmpt tersebut ada free parkir untuk driver ojek online. Nggk sekalian uang makan dan uang bensin kalian minta dri customer!!!"
Asriani,Aplikasi bagus
_manoesiakoetoeboekoe_,sekarang kalo mau buka maxim kenapa selalu loading. bahkan loading nya tuh bener2 lama banget. tolong diperbaiki deh min agak kesel soalnya lagi butuh2nya malah loading gajelas
buchano echa,ternyata cuma bonus 😂
Aangcube Box,i8ew
Amira Stevani,bagus
Alber Satria,Kenapa ngk bisa daftar sih? Kodenya ngk di kirim2
Buddi Man2,"Kenapa saat teman serlok lewat whatsapp gak bisa konek ke maxim??hanya bisa konek ke gojek,grab aja 😭😭😭minta solusinya dong."
Rusnaini Roses,Terima kasih sangat cepat
Didik Prasetyo,mantap
Cinta maila Putri,terimàkasih pak kuriirr
Mikhayla Hapsa hanif,orang y baik ramah
Pitri yani,terimakasih⭐️💯💯
Amadan Xiomi,Maaf klw boleh tau saat ini kok gak bisa login..
Aku dan Kamu,baik
Mimi zhazha85,ramah dan nyaman
Nadila Dwi Bratha,sangat memuaskan 👍
Adit Dito,"Kok ngga ada pilihan layanan rent car ya,perasaan dulu ada,ini Uda upgrade yg paling terbaru"
Syn Rebelz,Di aplikasi tidak bisa di batalkan dan seolah kita tetap harus menunggu walau pengemudi lama.. Tombol batal juga pilihan hanya rubah belanjaan dan ganti pengemudi.. Udah tunggu lama sampai beli sendiri app masih belum bisa di batalkan
Ferdy Irsyad31,"APK GAJELAS, BANYAK DRIVER YANG GASOPAN, NANYA NANYA HAL GA PENTING."
Kiki.,"Dlu bagus ni apk, aku suka bgt,tpi skrg GA krna ada beberapa driver yg kurang ajar sengaja ngelamain waktu biar ada biaya tambahan, hdeh"
Bambang Riyanto,OKE
Henrycus A Wibowo,Harga Miring kualitas bagus
Chici Chici,Naik harganya 4rb sih buset
Nany Sunani,makasih a..udah anter nyampe gang...
Ryu Hk,"gak guna , maps ampas 👎👎"
Ste Flo,Parah sih dg pengemudi yg banyak bacot.. Terus aplikasi tidak menyediakan menu BATAL.. Sehingga penumpang TERPAKSA MENDENGAR OCEHAN PENGEMUDI YG SANGAT MENYEBALKAN !!!!
Krekkess Gaming,"Driver payah,, udah bayar di dalem aplikasi minta bayar tunai LG, jdi dobel,, driver asu emng,, aplikasi nya gajelas pula , nyesel isi saldo Maxim"
Neng Ayu,supirnya ramah dan mau membantu.
Vivin Pokunde,terimah kasih 🙏🙏
Elly Anggraeni,"sopirx ramah dan kendaraannya bersih, wangi"
Erni Johan,Semoga Maxim makin maju makin maju makin banyak pengguna amin
dara jingga,"sangat baik,ramah 👍👍👍👍"
Nadia Tanmardia,Kode otpnya lama bgt bikin emosi
Peter Frangki,mantul👍👍👍👍👍
Rohim 123,driver ramah sekali
Raid Bilal,Kapan di tutup driver maxsim nya
Moh Fahri,Kebnyakan mitrax tidak mempunyai atitude yg baik...!!!! Mana lagi kebyakan mitrax yg datang bukan sesuai aplikasi...!!!!! Aplikasi hanya mementingkan penjualan atribut daripada menyaring mitrax untuk kenyamanan Customerx Aplikasi BANGKEEEEEEE
Tesya Oematan,"Kalau pake maxim food selalu gak bisa dibatalin dari hp ku, harus dari driver.. tolong diperbaiki dong"
Zahra Safitri,mantap
Lutfhi Lutfhi,Stop penambahan mitra drver
Desi Yunitasari,Stop PEMBUKAAN YA WAHAY TUAN... KOPLAK
Yahya Alwira,Aplikasi sampah
Sarifah Jum,wusimu
Muhhamad Azzami,Ok
Rezty Fauriza,"ok, mantap sekali"
Shiva Arya,Mantap
Sana Febriana,bagus drivernya amanah
Ismail mail,sangat baik
Afif Abil,orangnya ramah berjuang demi mahar sang pujaan hati
Ingrid Margieni,bagus...
Juwita Lestari,"Busyet dah susah bener masukin alamat nya di maps ngaco,di perbaikin lagi tuh biar mempermudah jangan ribet"
Ega Dewi Mentari,"Drivernya pada punya masalah, gak sopan, malas baca maps. Klu gak tau rute tu BERTANYA mau diantar kemana, ini nggak sok ngide ntah mau dibawa kemana, sialan. Buat aplikasi maxim tolong bikin rating untung si pengemudi biar tau dia salahnya apa evaluasi jangan seenaknya aja jadi orang !"
Dika Apriliansyah,Bagus murah
Ronny Tiow,Baik
Ahong Tan,Mantap
Hari Atun,Apk gaguna gk ada safety sama sekali
M Rasya,abangnya jelek
Rahmad Kurnia,Oke
AL FIKRI DWI KUSUMA,Apk susah buat cari map
simPATI 15gb,Map tolong di update.
Gunawansatwal Gun,driver sangat baik sopan dan ramah
Supandi 89,Gak bisa log in
ari wibowo,sopirnya baik ramah
Albert Sastro,GABISA DICANCEL
Herdianto Anto,Makasih to maxim saya sudah bisa mengunakan aplikasi Maxim lagi udah hampir tiga bln kurang lebih saya tidak bisa pake aplikasi Maxim dan sekrang sdh bisa digunakan lagi trim' banyak moga2 kedepannya bisa lebih baik lagi.
ardha firman,kaspro..go kaspro... for better
Cute Girl,"Murahnya the best tp ini kok cri drivernya lama banget. Terutama pesan makanan gak nemu driver, karena nunggu lama tp gak dapat driver mau di batalin gak bisa. Tolong fitur pembatalannya diperbaikin dong kan kita mau pesan di apk lain malah gak bisa takutnya dapat driver tiba2!!!!"
Wida Lee,"banyak driver yang minta tarif nya ditambah, dan maxim tidak ada layanan pengaduan keluhan penumpang"
nadia salsabila,Good
Roni Kurniawan,"Mantap banget pelayanan nya buat yang lagi buru buru berangkat kerja, dan aplikasi nya sangat keren tapi untuk map nya minta tolong buat developer untuk memperbaiki nya agar para pelanggan tidak susah buat nyari lokasi tujuan.."
Lendra Aa,sangat pejuang aspal
Adi Juli,Soooo uninstal.diapk GK ada ulasan pengaduan.efek driver arogan.istri lgi hamil.diajak naik ngebut.alamat nabrak orang lewat.itupu tidak ada etikad baik.tidak tangguh jawab
weni weni,pengemudi ramah cepat sampe 👍🏻
Margaretta Harjadi,"Saya mau komplen, pengemudi di aplikasi bisa hilang, jgn2 brg saya di bawa kabur ya? Telp ke kantor Maxim tdk bisa, saya hrs ngadu kemana"
Ria Oct,Kecewa banget naik maxim. Buat 2 titik tujuan all fresh Simatupang dan Bintaro Lestari Residence dengan total 71rb. Di All fresh nunggu maksimal 15 menit tapi dikenakan masa tunggu berbayar sampai 109 menit. Akhirnya saat sampai titik tujuan akhir dikenakan biaya 126rb. Driver menyarankan jalur biasa dengan alasan lewat tol macet. Tolong dijelaskan mengenai masa tunggu berbayar kenapa dihitung 109 menit sedangkan itu total waktu perjalanan sampai ke titik akhir.
Supri Yono,Maxsim sangat baik murah dan cepat bahkan sampai kepeloso desa bisa di dapat
Hendrawan Rahmani,ulasan saya aplikasi maxim sudah bagus hanya nanti kedepannya diadakanpembayaran non tunai
ighan gunawan,Maps nya kurang jelas
M Fathan,"DRIVER NYA ADA YANG PEDO,CUIHHH"
Fauzan,mantap
Azzam khalif,trimakasih sangat baik
Arya Priambodo,Mntab
Fitriyani Yanii,Abang nya ramah banget
Wpl Libbaskara,"Tolong segerakan fitur pembayaran non tunai, teknologi sudah semakin berkembang jangan sampai perusahaan tidak beradaptasi"
Cindy Monica Sari,kenapa gabisa login udah beberapa hari ini gabisa login
troy mardinan,"saya kesal dengan beberapa driver anda, belum juga naik sudah minta uang tambahan lebih dari harga yang tertera"
Indar Sih,"ok..Oce deh pokoknya,Abang ojolnya ramah"
sriewidya widya,"C klu u jg gu,uvu."
Hendra Cahya,terimakasih
Nabila Moren,"gjls bjir ni apk gabisa tau orgny udh smpe dimana kdg"" suka macet pas mau di order. tolong di benerin dong yaa"
Ncie Kartawijaya,sopan dan sangat baik
fadel muklis,Semoga lebih bagus lagi kedepannya
imong 66,ok mantap
Roronoa Zoro,"apakah titik jemputan dan pengantaran tidak akurat? soalnya setiap saya order, driver selalu bertanya-tanya pada saya. dan itu sangat tidak nyaman untuk saya"
felty selfiana,"Hallo!!ada aplikasi bagus nih buat teman"" dan keluarga yang sibuk dengan kerjaan diluar rumah sedangkan bawa kendaraan sendiri takut, download maxim aja guys"
Jayak SingSing,Bagus
Liah Mutoharoh,hehe
Kaka Prananda,mantap.penjemputan kilat.hebatlah
euis cute,Driver nya pada gak sopan
Ica Fira,Ramah
A Sumarna marna,keureun murah dan cepat ini baru ojol yg keureun.dan saya jg kwalitas yg lebih baik lagi.histori tgl 15 agust 23 perjalanan dari hotel media ke harko mangga 2 tdk muncul dihistori
Budi Wahyono,"Betul-betul mengedepankan pelayanan kepada konsumen,,,, Tanpa memikirkan nasib pengemudinya"
Wahyu Setiawan,driver tiba dengan cepat
Irena Natan,Baru aja pesen Maxim.. Antara titik dan nama alamat rumah tidak sesuai... Akhir nya tengkar sudah ama supir..di salahkan klo salah ketik.. Padahal alamat rumah sudah sesuai.. Tolong perbaiki titik nya donk... Terima kasih...
Sri Sulastri,trimakasih
Syahrudin Rizkiansyah,"Aplikasi gak jelas sumpah.. ngetik alamat sudah benar, di Grab/gojek ada. Di maxim malah gak ada.. payah maxim.. maps.nya"
Qurrotul ayun,Kebanyakan pengemudinya licik dan seenaknya sndiri
anjas vitoraenaldo,mantap
muldany muslim,"drivernya ramah, biaya terjangkau."
Not Founds 404 Tri Muhammad,peaktis
Rifat Hardanto,pengemudi baik..ramah
Has PO,sangat baik
Freddy Wijaya,CARI ALAMAT AJA NGGA KETEMU. APP BODOH BANGET
ritahadid,"maxim emang murah , tapi drivernya banyak yg nakal² , harga gak sesuai aplikasi drivernya nyolot lagi sengaja dibawa mutar mutar biar nambah harga ... disayangkan banget , gojek mahal tapi harga pasti"
Rizal 112,bagus
Sitti Rabiya,"alhamdulillah maxim murah,hemat nyaman dan aman"
Jepri Angga saputra,Driver overload di sumsel
Tb Mahdi,kali ini drivernya respon cepat langsung menemukan titik jemput dan ramah
Riyanti Aprianti,bgus harganya LBH murah dr PD yg lain
Yolamida Okti sudarti,Sumpah kenapa gak bisaa login yaaa bingung
GALANG REXEL,Susah log in
Rosiana Milantika,Maxim memberikan pelayanan terbaik dengan biaya yang terjangkau. Maxim menjadi tranportasi utama untuk beraktivitas. terimakasih maxim
emilva roza,terimakasih
Andi Gg,Cek dlu
khisty putri,"Please maxim kalo kasih harga tolonglah jangan ada nominal 1 2 3 perak, masalahnya cuma karena kurang aja driver tu kadang suka ngoceh cm kurang 1 perak, tapi giliran kami yang minta kembalian ke mereka pd bilang gak ada kembalian, kasih harga tu uang pas aja nominal pas jadi enak ngasih uang pas juga ke drivernya, masa tiap naik maxim selalu gak ada kembalian nyatutnya 5000, bukan masalah sedekah ni cuma kebiasaan bgt tiap driver gitu, klo kaya gtu harganya mah sm aja mending pakai akun ijo"
Natcwa Nandini,"0l""llllły(´ε｀ )♡(￣3"
Surya 41,apa coba kode promonya yg ngasi uang 100k ga bisa di pake buat beli makanan
